NO.,문제,정답
1,Revoke는 이미 승인한 스마트 컨트랙트 권한을 취소할 수 있는 기능이다.,O
2,NFT 거래 시에도 트랜잭션 수수료(Gas Fee)가 필요하다.,O
3,NFT는 특정 마켓플레이스에서만 거래할 수 있다.,X
4,시드 구문을 잃어버려도 고객센터에 요청하면 복구할 수 있다.,X
5,Revoke를 사용하면 지갑 자체를 초기화할 수 있다.,X
6,Revoke를 사용하면 이미 승인된 거래를 되돌릴 수 있다.,X
7,블록체인 주소가 다르면 동일한 사이트라도 피싱일 가능성이 있다.,O
8,무료로 에어드롭된 NFT는 항상 안전하다.,X
9,스마트 컨트랙트는 블록체인에 배포되면 변경이 가능하다.,X
10,NFT는 항상 유일한 디지털 자산을 의미한다.,O
11,하드웨어 지갑 없이도 MetaMask 같은 핫월렛을 안전하게 사용할 수 있다.,O
12,NFT는 변조될 수 없는 블록체인 기술을 기반으로 한다.,O
13,시드 구문을 안전하게 보관하는 가장 좋은 방법은 오프라인에서 종이에 적어두는 것이다.,O
14,Revoke를 실행하면 가스비가 전혀 들지 않는다.,X
15,스마트 컨트랙트가 내 지갑의 특정 토큰을 무제한으로 사용할 권한을 가질 수도 있다.,O
16,NFT 거래 시 스마트 컨트랙트가 악용될 가능성이 있으므로 권한 설정을 조심해야 한다.,O
17,NFT를 구매하면 해당 자산을 완전히 통제할 수 있다.,X
18,어떤 스마트 컨트랙트든 한번 권한을 부여하면 변경할 수 없다.,X
19,MetaMask 지갑은 모바일 앱과 브라우저 확장 프로그램에서 모두 사용할 수 있다.,O
20,스마트 컨트랙트를 사용할 때는 코드 감사를 거치는 것이 중요하다.,O
21,ERC-20 토큰은 이더리움 네트워크에서만 사용 가능하다.,O
22,NFT를 전송하면 트랜잭션이 블록체인에 기록된다.,O
23,다른 사람이 내 계정의 프라이빗 키를 알면 내 지갑을 제어할 수 있다.,O
24,Revoke를 하지 않아도 토큰을 보유하고 있으면 해킹당할 위험이 없다.,X
25,스마트 컨트랙트의 권한을 확인하려면 Etherscan 같은 블록체인 탐색기를 이용할 수 있다.,O
26,NFT를 소유하면 해당 이미지의 저작권도 자동으로 소유하게 된다.,X
27,피싱 사이트는 기존의 정상 사이트와 URL이 비슷하게 만들어진다.,O
28,모든 블록체인 지갑은 비밀번호만 알면 복구할 수 있다.,X
29,블록체인 지갑을 사용할 때 강력한 비밀번호를 설정하는 것이 보안을 강화하는 방법이다.,O
